object name,library name,text,rodata,data,bss,code,flash,ram
lib_a-fseek.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,30,0,0,0,30,30,0
lib_a-fseeko.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,664,0,0,0,664,664,0
lib_a-ftell.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,18,0,0,0,18,18,0
lib_a-ftello.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,192,0,0,0,192,192,0
lib_a-fvwrite.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,660,0,0,0,660,660,0
lib_a-fwalk.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,124,0,0,0,124,124,0
lib_a-fwrite.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,186,0,0,0,186,186,0
lib_a-gdtoa-gethex.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1316,0,0,0,1316,1316,0
lib_a-gdtoa-hexnan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,388,0,0,0,388,388,0
lib_a-getenv.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-getenv_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,130,0,0,0,130,130,0
lib_a-getreent.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,0,12,12,0
lib_a-gettzinfo.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,88,0,8,96,88
lib_a-gmtime.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,22,0,0,0,22,22,0
lib_a-gmtime_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,412,0,0,0,412,412,0
lib_a-impure.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,4,1068,0,4,1072,1068
lib_a-iswspace.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,6,0,0,0,6,6,0
lib_a-iswspace_l.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-lnumeric.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,15,2,0,15,17,2
lib_a-locale.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,8,364,0,20,384,364
lib_a-localeconv.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,8,0,0,0,8,8,0
lib_a-lock.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,9,12,12,9
lib_a-makebuf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,210,0,0,0,210,210,0
lib_a-mbrtowc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,52,1,0,0,53,53,0
lib_a-mbtowc_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-memchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,232,0,0,0,232,232,0
lib_a-memcmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,92,0,0,0,92,92,0
lib_a-memcpy-stub.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,200,0,0,0,200,200,0
lib_a-memmove.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,212,0,0,0,212,212,0
lib_a-memset.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,168,0,0,0,168,168,0
lib_a-mktime.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1212,96,0,0,1308,1308,0
lib_a-month_lengths.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,0,96,0,0,96,96,0
lib_a-mprec.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,2090,252,0,0,2342,2342,0
lib_a-printf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-putc.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,104,0,0,0,104,104,0
lib_a-qsort.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,808,0,0,0,808,808,0
lib_a-rand.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,76,0,0,0,76,76,0
lib_a-reent.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,146,0,0,0,146,146,0
lib_a-refill.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,278,0,0,0,278,278,0
lib_a-s_frexp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,112,0,0,0,112,112,0
lib_a-s_nan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,16,0,0,0,16,16,0
lib_a-sccl.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,116,0,0,0,116,116,0
lib_a-sf_nan.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,12,0,0,0,12,12,0
lib_a-siscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,80,0,0,0,80,80,0
lib_a-snprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,102,0,0,0,102,102,0
lib_a-sprintf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-sscanf.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,80,0,0,0,80,80,0
lib_a-stdio.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,140,0,0,0,140,140,0
lib_a-strcasecmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,68,0,0,0,68,68,0
lib_a-strcat.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,64,0,0,0,64,64,0
lib_a-strchr.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,208,0,0,0,208,208,0
lib_a-strcmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,732,0,0,0,732,732,0
lib_a-strcpy.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,196,0,0,0,196,196,0
lib_a-strcspn.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,48,0,0,0,48,48,0
lib_a-strdup.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,20,0,0,0,20,20,0
lib_a-strdup_r.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,36,0,0,0,36,36,0
lib_a-strerror.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,1156,1792,0,0,2948,2948,0
lib_a-strlen.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,220,0,0,0,220,220,0
lib_a-strncasecmp.o,..\..\components\newlib\newlib-3.1.0\armca5\libc.a,84,0,0,0,84,84,0
